,semester,hw_num,student_id,review,rating
0,fl18,hw2,AF72BBZ,"This assignment is a chance to review what i learned in class. Also, I can learn something new by doing this assignment. But there are some material weren't covered in class, I spent much time to search these marterial online. It gave me a hard time on it. The lucky thing is that I worked with my teammate, we both can share thoughts. It reduces time on thinking the problme.
",1
1,fl18,hw4,1B3313Z,"I think this assignment is much harder than the previous ones because it requires the real understanding of the MR program with secondary sort knowledge. I am very sad that we could not complete the assignment. We started it late and didn’t have time to finish. Really regret about how we perform. Hope we can do better next time
",1
2,fl18,hw4,AF72BBZ,"I continues to struggle with basic concept about HDFS level. This assignment is giving me a diffcult time in certain areas of HDFS. Areas in need of extra work are MapReduce. Working on these problme areas every week would help me improve my learning outcomes. Also, the coding part of this assignment is not easy too. Ispent much time on find some method about java using. The code for part two is harder than the code for part one in my opinion.
",1
3,fl18,hw4,B68C78Z,"This time the homework is totally different from what we did before. In the lab, we write some simple codes to use hadoop finishing some jobs. And then in the homework, we will need to use the similar way to finish some harder but more realistic job. This home work makes me realize what cloud computing is about in real world because before I only had some concepts about it. But as it is our first time using hadoop to process out own code, I have met many troubles and wasted a lot of time.
",1
4,fl18,hw4,B8F758Z,"Homework 4 is the most time consuming and the most difficult homework so far. Because it ask the students to implement mapreduce jobs and add parameters and write code to assign reducers at the same time without enough guids. Also, many java knowledge required in this assignment is not covered in class nor in labs. We spent the whole day to finish this assignment.
",1
5,fl18,hw4,DD61E5Z,"I did not like this homework. I thought the directions were very unclear. Part (a) for Problem 1 was confusing because 
it seemed like the mapper and reducer input/output could be found within the job. The question should have told us to 
determine the input/output by hand explicitly. Part b and c is confusing because I didn't know what I was comparing the job 
execution to. Was a comparing it to the job in the previous part or was I comparing the job before the implementation of the current part?
Question 2 part d was a similar repeat of another problem on a previous homework that hadn't been graded by the time this one was due. Overall
I would rate this homework a 1 star out of 5 because it was by far the worst homework this far. 
",1
6,fl18,hw4,DD781FZ,"In my opinion, hw4 is the hardest homework so far. Firstly, setting up eclipse and learning how to run the code took lots of time. Then, since hadoop did lots of work (i.e., group, sort) automatically and the question provides part of codes, it is hard to debug our code since we were not one hundred percent clear everything that was going on. Finally, running a Shakespeare test case took almost half an hour on our computer since we do not have a computer with large memory.
",1
7,fl18,hw5,1B3313Z,"I think this assignment becomes even more challenging than the previous ones. It requires complete understanding of the mapreduce and its tools. For example, the partitioner. I am glad that through this assignment I got familiar with all the useful aspects of mapreduce. It was very exciting and hard that I learn a lot from it
",1
8,fl18,hw5,942FB2Z,"HW5 was hard, not necessarily in the sense that the execution/answering is hard, but more in terms of understanding the question. Many times I simply did not understand what the question was asking for, particularly 2a. I understand the terms listed in the problem but honestly failed to understand the connection. Also the inconsistencies between the homework instructions and the actual path or state of files, although easy to mediate after a clarification was given, was frustrating and confusing.
",1
9,fl18,hw5,AF72BBZ,"This assignment is harder compared to previous assignments. In HW5, it's required more skills on java code. Personally, I like coding part because it easier for me. For question 1, the most hardest thing is about regex. For question 2, the most hardest thing is about sort. For question 3, I finshed with my teammate, he was good at solving such problme. Anyway, regex and java code skills are needed in order to finish this assignment. And as I menthioned, this one is harder compared to previous assignments.
",1
